Nikola Jokic,60
Russell Westbrook,59
Rudy Gobert,49
Jonas Valanciunas,49
Clint Capela,48
Domantas Sabonis,48
Nikola Vucevic,48
Giannis Antetokounmpo,41
Julius Randle,41
Enes Kanter,34
Bam Adebayo,33
Deandre Ayton,33
Karl-Anthony Towns,33
James Harden,32
Joel Embiid,31
Andre Drummond,28
Trae Young,28
Luka Doncic,26
Jarrett Allen,25
Chris Paul,25
Richaun Holmes,21
Christian Wood,19
LeBron James,18
Jimmy Butler,17
Draymond Green,17
John Collins,16
Damian Lillard,16
Mason Plumlee,16
Kristaps Porzingis,16
Jakob Poeltl,15
Michael Porter Jr.,15
Jayson Tatum,15
Ja Morant,14
Zion Williamson,14
Steven Adams,13
Wendell Carter Jr.,13
DeMar DeRozan,13
Kyle Kuzma,13
Dejounte Murray,13
Jusuf Nurkic,13
Pascal Siakam,13
Ben Simmons,13
Ivica Zubac,13
Chris Boucher,12
Moses Brown,12
Anthony Davis,12
Kevin Durant,12
Dwight Howard,12
Kelly Olynyk,12
Bobby Portis,12
Marvin Bagley III,11
Darius Bazley,11
Miles Bridges,11
De'Aaron Fox,11
Tobias Harris,11
Willy Hernangomez,11
Jaylen Brown,10
Jrue Holiday,10
Khris Middleton,10
P.J. Washington,10
Paul George,9
Kawhi Leonard,9
Kyle Lowry,9
Stephen Curry,8
Montrezl Harrell,8
Kyrie Irving,8
Keldon Johnson,8
Isaiah Stewart,8
Cody Zeller,8
LaMelo Ball,7
DeMarcus Cousins,7
Hamidou Diallo,7
Josh Hart,7
Myles Turner,7
John Wall,7
Thaddeus Young,7
Harrison Barnes,6
Khem Birch,6
Malcolm Brogdon,6
Bruce Brown,6
Mike Conley,6
Robert Covington,6
Darius Garland,6
DeAndre Jordan,6
Caris LeVert,6
Kelly Oubre Jr.,6
D'Angelo Russell,6
Dennis Schroder,6
Daniel Theis,6
Lonzo Ball,5
RJ Barrett,5
Oshae Brissett,5
Donte DiVincenzo,5
Tyrese Haliburton,5
Tyler Herro,5
Serge Ibaka,5
Kevin Love,5
T.J. McConnell,5
Larry Nance Jr.,5
Mitchell Robinson,5
Terry Rozier,5
Tristan Thompson,5
Fred VanVleet,5
Coby White,5
Mo Bamba,4
Bradley Beal,4
Eric Bledsoe,4
Talen Horton-Tucker,4
Brandon Ingram,4
Kenyon Martin Jr.,4
Kevin Porter Jr.,4
Ricky Rubio,4
Hassan Whiteside,4
Robert Williams,4
Precious Achiuwa,3
Kyle Anderson,3
OG Anunoby,3
Saddiq Bey,3
Bismack Biyombo,3
Tony Bradley,3
Alec Burks,3
Brandon Clarke,3
Anthony Edwards,3
Drew Eubanks,3
Shai Gilgeous-Alexander,3
Aaron Gordon,3
Devonte' Graham,3
Jerami Grant,3
Rui Hachimura,3
R.J. Hampton,3
Kevin Huerter,3
Zach LaVine,3
Brook Lopez,3
Robin Lopez,3
Boban Marjanovic,3
Naji Marshall,3
Royce O'Neale,3
Isaiah Roby,3
Marcus Smart,3
Jae'Sean Tate,3
Jarred Vanderbilt,3
Andrew Wiggins,3
Patrick Williams,3
James Wiseman,3
Delon Wright,3
Aron Baynes,2
Mikal Bridges,2
Sterling Brown,2
Torrey Craig,2
Daniel Gafford,2
Danilo Gallinari,2
Blake Griffin,2
Gordon Hayward,2
Buddy Hield,2
Joe Ingles,2
Josh Jackson,2
Alize Johnson,2
Stanley Johnson,2
Tyus Jones,2
Cory Joseph,2
Frank Kaminsky,2
Alex Len,2
Terance Mann,2
Lauri Markkanen,2
C.J. McCollum,2
Jalen McDaniels,2
Paul Millsap,2
Donovan Mitchell,2
Markieff Morris,2
Nerlens Noel,2
Jordan Nwora,2
Onyeka Okongwu,2
Cedi Osman,2
Otto Porter,2
Xavier Tillman,2
Lou Williams,2
LaMarcus Aldridge,1
Al-Farouq Aminu,1
Thanasis Antetokounmpo,1
Trevor Ariza,1
Nicolas Batum,1
Kent Bazemore,1
Devin Booker,1
Jalen Brunson,1
Thomas Bryant,1
Kentavious Caldwell-Pope,1
Facundo Campazzo,1
Jevon Carter,1
Willie Cauley-Stein,1
Chris Chiozza,1
Nicolas Claxton,1
Jarrett Culver,1
Dewayne Dedmon,1
Goran Dragic,1
James Ennis III,1
Derrick Favors,1
Dorian Finney-Smith,1
Malachi Flynn,1
Bryn Forbes,1
Markelle Fultz,1
Rudy Gay,1
Danny Green,1
JaMychal Green,1
Donta Hall,1
Josh Hall,1
Isaiah Hartenstein,1
Aaron Holiday,1
Al Horford,1
De'Andre Hunter,1
Damian Jones,1
Luke Kennard,1
Nathan Knight,1
Trey Lyles,1
Theo Maledon,1
Caleb Martin,1
Cody Martin,1
JaVale McGee,1
De'Anthony Melton,1
Jamal Murray,1
Georges Niang,1
David Nwaba,1
Isaac Okoro,1
Cameron Oliver,1
Daniel Oturu,1
Cameron Payne,1
Reggie Perry,1
Aleksej Pokusevski,1
Dwight Powell,1
Paul Reed,1
Naz Reid,1
Duncan Robinson,1
Derrick Rose,1
Tomas Satoransky,1
Collin Sexton,1
Jalen Smith,1
Dennis Smith Jr.,1
Lamar Stevens,1
Gabe Vincent,1
Dean Wade,1
Moritz Wagner,1
D.J. Wilson,1
Dylan Windler,1
Justise Winslow,1
